Date,Ticker,Open,High,Low,Close,Volume,Sector
2021-01-04,AAPL,130.44,133.05,127.4,130.0,112660813,Technology
2021-01-05,AAPL,127.1,129.82,124.9,127.61,73033171,Technology
2021-01-06,AAPL,124.86,125.74,124.23,125.11,65962140,Technology
2021-01-07,AAPL,122.58,124.06,120.88,122.36,111533065,Technology
2021-01-08,AAPL,124.79,126.82,122.23,124.25,62706948,Technology
2021-01-11,AAPL,126.23,126.88,125.38,126.03,76716468,Technology
2021-01-12,AAPL,126.39,127.71,125.28,126.6,75552865,Technology
2021-01-13,AAPL,121.62,123.23,120.08,121.69,89989498,Technology
2021-01-14,AAPL,121.59,123.57,119.76,121.73,74452807,Technology
2021-01-15,AAPL,120.57,121.65,119.67,120.75,103637485,Technology
2021-01-18,AAPL,123.63,125.65,121.4,123.42,73424676,Technology
2021-01-19,AAPL,124.8,126.52,122.99,124.71,88313838,Technology
2021-01-20,AAPL,126.76,128.45,125.08,126.77,93144653,Technology
2021-01-21,AAPL,127.54,130.05,125.53,128.04,104102732,Technology
2021-01-22,AAPL,126.12,127.56,125.23,126.67,117576741,Technology
2021-01-25,AAPL,127.88,130.93,125.4,128.44,85873579,Technology
2021-01-26,AAPL,128.58,129.6,127.58,128.6,108895545,Technology
2021-01-27,AAPL,130.24,132.75,127.56,130.07,80557387,Technology
2021-01-28,AAPL,128.03,130.07,126.23,128.27,113634506,Technology
2021-01-29,AAPL,131.04,133.41,128.6,130.96,78825535,Technology
2021-02-01,AAPL,126.94,128.74,125.75,127.54,108041340,Technology
2021-02-02,AAPL,132.08,133.87,130.53,132.31,87531066,Technology
2021-02-03,AAPL,130.36,133.11,128.11,130.85,110530531,Technology
2021-02-04,AAPL,128.9,131.28,125.96,128.33,83150535,Technology
2021-02-05,AAPL,124.43,125.62,123.4,124.59,79308269,Technology
2021-02-08,AAPL,124.41,125.36,123.33,124.28,87859137,Technology
2021-02-09,AAPL,124.59,127.43,122.35,125.18,97810141,Technology
2021-02-10,AAPL,126.27,128.35,123.87,125.94,112221401,Technology
2021-02-11,AAPL,129.56,131.62,126.95,129.01,79293067,Technology
2021-02-12,AAPL,127.94,130.17,126.33,128.56,59913976,Technology
2021-02-15,AAPL,126.77,128.37,125.68,127.28,74982576,Technology
2021-02-16,AAPL,127.83,129.42,126.85,128.44,113603596,Technology
2021-02-17,AAPL,127.5,128.15,126.55,127.2,68552799,Technology
2021-02-18,AAPL,127.91,130.3,125.03,127.41,98407118,Technology
2021-02-19,AAPL,126.64,129.19,124.73,127.27,118099858,Technology
2021-02-22,AAPL,128.96,131.3,126.12,128.45,98725049,Technology
2021-02-23,AAPL,129.7,131.02,127.88,129.19,76845257,Technology
2021-02-24,AAPL,131.73,134.04,129.96,132.26,114356359,Technology
2021-02-25,AAPL,132.46,133.77,131.52,132.83,92708982,Technology
2021-02-26,AAPL,136.1,138.34,133.7,135.94,73311967,Technology
2021-03-01,AAPL,135.37,136.05,134.34,135.02,118119835,Technology
2021-03-02,AAPL,137.36,139.77,135.0,137.41,113274152,Technology
2021-03-03,AAPL,136.6,138.12,135.05,136.57,87889221,Technology
2021-03-04,AAPL,138.1,139.72,136.11,137.72,90842749,Technology
2021-03-05,AAPL,136.17,137.83,134.84,136.5,61745965,Technology
2021-03-08,AAPL,134.56,136.77,132.71,134.92,68313968,Technology
2021-03-09,AAPL,137.42,139.45,135.14,137.17,104253216,Technology
2021-03-10,AAPL,140.73,142.5,138.42,140.18,115212393,Technology
2021-03-11,AAPL,139.65,142.04,137.07,139.46,77571396,Technology
2021-03-12,AAPL,137.71,140.75,134.99,138.02,71558086,Technology
2021-03-15,AAPL,138.08,140.3,136.47,138.69,117720420,Technology
2021-03-16,AAPL,138.54,140.46,136.55,138.46,98519878,Technology
2021-03-17,AAPL,138.25,140.63,136.53,138.9,95932521,Technology
2021-03-18,AAPL,140.01,142.34,137.81,140.13,104559086,Technology
2021-03-19,AAPL,142.06,143.66,140.87,142.46,69104310,Technology
2021-03-22,AAPL,143.4,144.92,141.39,142.9,108760767,Technology
2021-03-23,AAPL,140.78,142.29,139.14,140.65,102388570,Technology
2021-03-24,AAPL,142.33,144.03,141.1,142.8,117339711,Technology
2021-03-25,AAPL,141.65,143.67,138.96,140.97,79596481,Technology
2021-03-26,AAPL,141.2,143.79,139.0,141.59,75041410,Technology
2021-03-29,AAPL,140.17,142.2,138.39,140.42,69473483,Technology
2021-03-30,AAPL,136.71,138.58,135.49,137.35,101413205,Technology
2021-03-31,AAPL,134.79,137.02,133.12,135.34,69715792,Technology
2021-04-01,AAPL,135.34,136.22,134.31,135.19,65105516,Technology
2021-04-02,AAPL,135.22,138.09,133.01,135.87,74337859,Technology
2021-04-05,AAPL,136.07,138.57,133.28,135.77,63841615,Technology
2021-04-06,AAPL,137.52,139.91,135.14,137.53,109883590,Technology
2021-04-07,AAPL,135.3,137.2,133.16,135.05,118613342,Technology
2021-04-08,AAPL,137.3,138.46,135.97,137.13,86889122,Technology
2021-04-09,AAPL,133.22,134.62,132.48,133.87,66594100,Technology
2021-04-12,AAPL,133.72,135.69,131.66,133.63,92429058,Technology
