Date,AAPL,MSFT,GOOGL,AMZN,NVDA,JNJ,JPM,XOM,PG,TSLA
2021-01-04,130.0,220.0,85.0,160.0,135.0,155.0,125.0,42.0,138.0,240.0
2021-01-05,127.61,219.73,85.99,162.04,134.1,156.57,125.12,41.15,138.27,229.58
2021-01-06,125.11,215.13,83.48,160.25,130.29,156.99,125.34,41.38,138.0,223.63
2021-01-07,122.36,214.37,82.2,156.81,130.0,155.75,125.53,41.36,136.31,221.49
2021-01-08,124.25,218.27,84.58,159.48,141.07,155.48,126.46,41.67,135.9,241.0
2021-01-11,126.03,220.42,85.24,156.78,141.83,156.07,126.2,41.27,136.5,248.17
2021-01-12,126.6,221.81,86.64,158.03,142.75,157.16,127.18,41.27,137.97,247.12
2021-01-13,121.69,216.94,83.65,153.38,136.38,156.18,125.47,39.41,135.64,235.76
2021-01-14,121.73,213.55,82.35,150.87,133.79,154.64,122.7,38.84,136.08,230.29
2021-01-15,120.75,211.62,81.87,150.28,133.2,152.96,120.64,38.99,134.96,234.83
2021-01-18,123.42,217.65,83.3,151.96,138.57,155.12,124.93,40.35,135.89,247.0
2021-01-19,124.71,216.62,83.96,150.99,139.73,154.31,124.24,39.56,135.74,250.66
2021-01-20,126.77,220.14,86.28,159.31,144.12,155.65,124.34,41.08,137.94,253.23
2021-01-21,128.04,224.28,87.63,162.36,148.91,155.24,126.98,42.63,139.27,257.8
2021-01-22,126.67,220.34,86.96,165.14,146.24,156.24,125.96,42.66,137.81,251.22
2021-01-25,128.44,221.9,88.77,168.44,155.14,156.83,125.08,42.75,137.85,268.19
2021-01-26,128.6,221.85,88.72,170.6,154.46,158.07,127.49,42.96,137.1,266.74
2021-01-27,130.07,223.77,90.07,177.0,158.39,158.11,130.69,43.86,138.86,277.16
2021-01-28,128.27,224.81,90.21,173.84,158.33,158.43,130.94,44.34,139.96,276.51
2021-01-29,130.96,230.15,92.37,176.42,162.21,157.49,132.11,44.33,140.01,276.61
2021-02-01,127.54,227.06,90.16,173.63,154.92,156.71,133.46,44.34,139.7,258.71
2021-02-02,132.31,236.85,94.79,180.07,167.05,159.11,139.31,45.32,140.51,270.01
2021-02-03,130.85,239.04,94.32,177.5,168.27,157.46,140.1,46.29,140.5,279.46
2021-02-04,128.33,240.35,92.97,171.19,166.09,159.57,139.64,45.29,138.22,273.99
2021-02-05,124.59,232.86,91.31,172.61,157.31,158.38,139.07,46.72,138.0,269.62
2021-02-08,124.28,232.69,91.63,172.91,152.67,159.95,138.81,48.32,138.37,269.75
2021-02-09,125.18,233.62,91.79,174.1,156.18,159.63,137.59,48.07,139.92,278.53
2021-02-10,125.94,235.95,92.02,176.92,160.21,159.54,134.46,47.23,139.39,282.82
2021-02-11,129.01,238.75,93.42,180.21,165.09,161.18,134.86,48.32,140.16,300.58
2021-02-12,128.56,236.86,94.36,183.81,159.43,160.69,138.08,47.98,140.55,292.86
2021-02-15,127.28,235.37,91.99,187.29,157.1,162.3,138.68,49.4,140.46,293.65
2021-02-16,128.44,238.86,93.92,187.09,159.05,164.35,136.69,50.54,140.04,302.01
2021-02-17,127.2,237.31,94.1,188.84,158.34,164.57,134.63,49.73,139.37,297.69
2021-02-18,127.41,239.92,95.0,189.17,166.05,165.62,134.82,51.31,141.51,323.04
2021-02-19,127.27,242.11,94.19,190.73,167.55,164.67,135.94,50.37,139.3,320.6
2021-02-22,128.45,245.96,95.9,196.57,174.09,165.79,137.67,50.96,140.33,321.81
2021-02-23,129.19,246.76,96.55,198.27,169.3,164.81,137.55,51.16,140.04,315.47
2021-02-24,132.26,251.42,98.37,195.7,171.51,165.44,140.25,52.73,139.4,329.66
2021-02-25,132.83,257.26,99.69,200.85,177.73,168.61,144.61,54.1,138.92,340.51
2021-02-26,135.94,263.49,101.68,202.15,180.67,171.25,148.25,54.84,139.62,337.57
2021-03-01,135.02,265.83,102.5,202.52,181.88,172.89,149.03,53.72,139.32,334.78
2021-03-02,137.41,265.25,103.29,204.68,180.51,173.28,151.12,53.82,142.19,332.94
2021-03-03,136.57,263.05,101.87,201.82,174.07,172.42,149.81,51.63,141.3,315.54
2021-03-04,137.72,267.69,103.84,200.86,176.46,173.62,150.16,50.85,143.86,311.43
2021-03-05,136.5,260.62,102.81,197.36,169.79,173.29,147.43,50.03,145.28,288.82
2021-03-08,134.92,256.46,101.25,195.93,162.8,171.73,144.44,49.26,144.71,279.83
2021-03-09,137.17,260.98,102.24,197.39,173.87,173.86,144.74,50.77,145.75,297.8
2021-03-10,140.18,261.45,101.95,202.6,177.08,174.47,144.02,50.93,146.39,300.0
2021-03-11,139.46,259.6,100.64,199.92,168.45,174.82,143.91,50.71,145.88,290.66
2021-03-12,138.02,256.6,99.96,199.66,170.22,176.7,146.34,50.17,145.8,288.35
2021-03-15,138.69,250.73,98.82,199.63,162.4,176.53,143.24,49.8,149.05,269.76
2021-03-16,138.46,249.55,98.03,201.76,164.26,177.79,141.99,51.69,147.6,274.81
2021-03-17,138.9,250.36,98.72,207.62,165.56,178.82,142.11,52.68,147.6,275.68
2021-03-18,140.13,254.43,98.12,208.8,169.03,181.07,141.77,54.12,147.42,273.48
2021-03-19,142.46,255.17,97.87,210.46,170.76,182.31,143.55,54.59,147.27,282.23
2021-03-22,142.9,257.18,97.67,208.97,173.76,184.28,145.79,54.94,147.2,291.63
2021-03-23,140.65,252.59,97.22,209.14,167.78,184.86,148.81,54.69,146.29,281.86
